temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
531600	0.476375667	0.553019202	0.654169635	3.708405602	4.359407549	294.3987211	290.9725223	287.0289328
531900	0.476372275	0.552945548	0.654107959	3.710993908	4.349189785	294.3936403	290.9631275	287.0183753
532200	0.476372745	0.552872314	0.654047196	3.713563931	4.345562436	294.3886558	290.9537817	287.0079829
532500	0.476373216	0.552799081	0.653986433	3.716132565	4.341935827	294.3836714	290.944436	286.9975906
532800	0.476335047	0.5527296	0.653930867	3.718215303	4.339013405	294.3779785	290.9355262	286.9880501
533100	0.476292585	0.552660537	0.653875879	3.720243103	4.336169934	294.3722069	290.9266649	286.9786041
533400	0.476250123	0.552591473	0.653820892	3.722269813	4.333327254	294.3664353	290.9178036	286.9691582
533700	0.476231072	0.552526272	0.653769639	3.723984365	4.326212922	294.3614319	290.9093888	286.9602088
534000	0.476214622	0.5524615	0.653718801	3.725663459	4.318626238	294.3565139	290.9010235	286.9513144
534300	0.476198172	0.552396727	0.653667964	3.727341667	4.311042002	294.3515959	290.8926582	286.9424201
534600	0.476202602	0.552336587	0.653626344	3.728816935	4.246550827	294.3472526	290.8848378	286.9351334
534900	0.476209351	0.552276961	0.653585748	3.730269018	4.175659544	294.3429731	290.877078	286.9280253
535200	0.476216101	0.552217336	0.653545152	3.731720376	4.104687246	294.3386936	290.8693182	286.9209173
535500	0.476186314	0.552162555	0.653516574	3.732466765	4.065364045	294.3338489	290.8621395	286.9160133
535800	0.476152468	0.552108313	0.653489331	3.733134488	4.029526246	294.3289413	290.8550254	286.9113542
536100	0.476118622	0.552054071	0.653462088	3.733801811	3.99365043	294.3240338	290.8479114	286.9066952
536400	0.476107206	0.552005718	0.653448824	3.733629118	3.936337197	294.319855	290.8415194	286.904662
536700	0.476098282	0.55195802	0.653437113	3.733363043	3.876541789	294.3157572	290.8352076	286.9029205
537000	0.476089359	0.551910322	0.653425403	3.733096894	3.816638418	294.3116593	290.8288959	286.901179
537300	0.4760847	0.551870036	0.653433131	3.731742235	3.723736237	294.3077327	290.8235162	286.9031455
537600	0.476080516	0.551830573	0.653443019	3.730266866	3.626886198	294.3038251	290.8182401	286.9055239
537900	0.476076332	0.55179111	0.653452907	3.728791739	3.529733085	294.2999176	290.812964	286.9079023
538200	0.476083268	0.551761004	0.65348533	3.725948188	3.463806163	294.2965675	290.8088903	286.9146245
538500	0.47609144	0.551731937	0.653520256	3.72295302	3.401161076	294.2932793	290.8049501	286.9218293
538800	0.476099612	0.55170287	0.653555182	3.719958319	3.338298871	294.2899912	290.80101	286.9290341
539100	0.476078526	0.551684331	0.653613791	3.715109401	3.405331966	294.2862903	290.7984416	286.9407659
539400	0.476054188	0.551666962	0.653675032	3.710054926	3.48699567	294.2825435	290.7960257	286.9530007
539700	0.476029851	0.551649592	0.653736273	3.705000973	3.568853602	294.2787968	290.7936097	286.9652355
540000	0.476049735	0.551646176	0.653840568	3.697676705	3.331495923	294.2763331	290.7930209	286.9858085
540300	0.476074532	0.55164431	0.653949647	3.690100271	3.056379262	294.2740121	290.792635	287.0073081
540600	0.47609933	0.551642443	0.654058725	3.682523965	2.778863961	294.271691	290.7922492	287.0288076
540900	0.476114626	0.551659548	0.654230547	3.671434576	2.513928546	294.2694175	290.7943811	287.0620595
541200	0.476128866	0.551678761	0.65440934	3.659953641	2.247974379	294.2671493	290.7967928	287.0966172
541500	0.476143106	0.551697974	0.654588133	3.648471446	1.97932222	294.264881	290.7992045	287.1311749
541800	0.476178112	0.551739678	0.654795967	3.633412112	1.840947257	294.2636659	290.8046348	287.1719772
542100	0.476215426	0.55178388	0.655007028	3.617951499	1.716550459	294.2625679	290.8104006	287.2134732
542400	0.47625274	0.551828083	0.65521809	3.602486786	1.59145694	294.2614698	290.8161663	287.2549693
542700	0.47631009	0.551894964	0.655443629	3.584546035	1.516257717	294.2613973	290.8249698	287.2990159
543000	0.476369666	0.551964365	0.655670777	3.566323077	1.446284207	294.2614387	290.8341109	287.3433459
543300	0.476429243	0.552033767	0.655897924	3.548092391	1.375931042	294.2614802	290.8432519	287.3876758
543600	0.476502532	0.552125874	0.656155273	3.527780887	1.164883017	294.2625783	290.8554073	287.4380982
543900	0.476577345	0.552220505	0.656415978	3.507227265	0.936195978	294.2637938	290.8678977	287.4891974
544200	0.476652158	0.552315135	0.656676682	3.486661657	0.705372672	294.2650093	290.880388	287.5402966
544500	0.47672157	0.552433926	0.656988028	3.463362412	0.542740725	294.2668532	290.8960729	287.5999561
544800	0.476790383	0.552555401	0.657305	3.439743301	0.386426005	294.2687668	290.9121127	287.6605666
545100	0.476859195	0.552676876	0.657621973	3.416106443	0.228647979	294.2706805	290.9281525	287.7211772
545400	0.476933411	0.552822747	0.65796376	3.389849733	0.280833468	294.273396	290.9474175	287.7855204
545700	0.477008227	0.552971328	0.658308303	3.363279766	0.356801708	294.2762006	290.9670408	287.8502784
546000	0.477083043	0.55311991	0.658652847	3.336685329	0.433153157	294.2790052	290.986664	287.9150364
546300	0.477199829	0.553290087	0.658992878	3.309151996	0.530458898	294.283451	291.0091232	287.9775329
546600	0.477321279	0.553462664	0.659332408	3.28148766	0.630355825	294.2880792	291.0318975	288.0397781
546900	0.477442728	0.553635241	0.659671937	3.253793667	0.73055417	294.2927073	291.0546717	288.1020233
547200	0.477589971	0.553824049	0.659994133	3.227026252	0.793465204	294.2987458	291.079537	288.1595409
547500	0.477740079	0.554014662	0.660314403	3.200333503	0.852355403	294.3049409	291.1046346	288.2165334
547800	0.477890188	0.554205274	0.660634673	3.173609073	0.911393622	294.3111361	291.1297322	288.2735258
548100	0.478023097	0.554404084	0.66091721	3.149270473	1.096473954	294.3177812	291.1558217	288.3221518
