temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
896700	0.678384782	0.669169928	0.723798504	3.257456171	-0.0935571	294.1877998	290.7441582	287.9153864
897000	0.67857785	0.669468731	0.724279257	3.215114444	-0.125855883	294.2065065	290.7974651	288.0195984
897300	0.678770919	0.669767534	0.724760009	3.172752555	-0.15819309	294.2252133	290.8507719	288.1238104
897600	0.678966401	0.670071586	0.725249103	3.130682122	-0.356980728	294.2454171	290.9057964	288.2272957
897900	0.679161884	0.670375637	0.725738196	3.088591047	-0.555922412	294.265621	290.9608208	288.3307809
898200	0.679357367	0.670679689	0.726227289	3.046479329	-0.755018899	294.2858249	291.0158452	288.4342662
898500	0.679556359	0.67098864	0.726727405	3.004960297	-0.825233874	294.3077662	291.0724002	288.5376553
898800	0.67975535	0.67129759	0.727227522	2.963420366	-0.895532275	294.3297076	291.1289553	288.6410444
899100	0.679954342	0.671606541	0.727727639	2.921859535	-0.965914102	294.351649	291.1855103	288.7444334
899400	0.680160346	0.671920596	0.728236877	2.881025669	-0.997084809	294.3761176	291.2435647	288.8486428
899700	0.680366349	0.672234652	0.728746116	2.840170738	-1.028291749	294.4005863	291.3016191	288.9528521
900000	0.680572353	0.672548707	0.729255355	2.799294742	-1.059534922	294.4250549	291.3596734	289.0570615
900300	0.680777164	0.672868641	0.729794755	2.758361991	-1.211325951	294.4501055	291.4193677	289.1656507
900600	0.680981976	0.673188574	0.730334155	2.71740757	-1.363350763	294.475156	291.4790619	289.2742399
900900	0.681186787	0.673508508	0.730873554	2.676431477	-1.515609358	294.5002066	291.5387561	289.3828291
901200	0.681374175	0.673833325	0.73141896	2.634720437	-1.555546584	294.5220728	291.5997795	289.4897117
901500	0.681561563	0.674158141	0.731964366	2.59298687	-1.595504006	294.543939	291.6608029	289.5965944
901800	0.681748951	0.674482957	0.732509772	2.551230775	-1.635481756	294.5658051	291.7218264	289.703477
902100	0.681947265	0.67481184	0.733062632	2.509585699	-1.727124033	294.5910324	291.7838431	289.8089413
902400	0.68214558	0.675140722	0.733615492	2.467917802	-1.818874136	294.6162597	291.8458597	289.9144056
902700	0.682343894	0.675469605	0.734168351	2.426227081	-1.910732067	294.641487	291.9078764	290.0198699
903000	0.682540657	0.675802009	0.734721178	2.385429243	-1.844520378	294.6673324	291.9706887	290.1233756
903300	0.682737419	0.676134413	0.735274005	2.344608787	-1.778248048	294.6931778	292.0335009	290.2268812
903600	0.682934182	0.676466817	0.735826832	2.303765713	-1.711915073	294.7190231	292.0963132	290.3303869
903900	0.683123405	0.676800551	0.73636435	2.264648511	-1.736091966	294.7440571	292.1592634	290.4263494
904200	0.683312629	0.677134286	0.736901868	2.22550959	-1.760274362	294.7690911	292.2222136	290.5223119
904500	0.683501852	0.677468021	0.737439385	2.18634895	-1.784462332	294.7941251	292.2851638	290.6182744
904800	0.683695835	0.677801726	0.737977887	2.149366579	-1.925819672	294.8209966	292.3477898	290.7119724
905100	0.683889817	0.678135431	0.738516389	2.112363786	-2.067335647	294.8478682	292.4104158	290.8056704
905400	0.684083799	0.678469137	0.73905489	2.07534057	-2.209010262	294.8747398	292.4730417	290.8993683
905700	0.684276597	0.67880161	0.739571589	2.040938161	-2.167184976	294.9022165	292.5349999	290.986601
906000	0.684469395	0.679134083	0.740088288	2.006516956	-2.125363659	294.9296931	292.596958	291.0738337
906300	0.684662193	0.679466555	0.740604987	1.972076952	-2.083546096	294.9571697	292.6589161	291.1610664
906600	0.684866644	0.679796616	0.741101378	1.941371657	-2.012839333	294.9880506	292.7198276	291.2407954
906900	0.685071094	0.680126677	0.741597768	1.910649854	-1.942100965	295.0189315	292.780739	291.3205244
907200	0.685275544	0.680456737	0.742094159	1.87991154	-1.871330987	295.0498124	292.8416504	291.4002535
907500	0.685465355	0.680782407	0.742565633	1.85273572	-1.761587129	295.0780074	292.9009972	291.4735853
907800	0.685655166	0.681108077	0.743037107	1.825545646	-1.651802742	295.1062024	292.9603439	291.546917
908100	0.685844978	0.681433746	0.743508581	1.798341316	-1.541977813	295.1343974	293.0196906	291.6202488
908400	0.686037682	0.681753036	0.743953052	1.774771932	-1.587546531	295.1637906	293.076917	291.685417
908700	0.686230387	0.682072325	0.744397522	1.751190602	-1.633109484	295.1931837	293.1341434	291.7505852
909000	0.686423091	0.682391614	0.744841993	1.727597325	-1.678666834	295.2225769	293.1913697	291.8157534
909300	0.686616774	0.682703593	0.745265726	1.70772474	-1.657371478	295.2527041	293.2462391	291.8755746
909600	0.686810458	0.683015572	0.74568946	1.687842469	-1.636067955	295.2828313	293.3011084	291.9353957
909900	0.687004141	0.68332755	0.746113193	1.667950512	-1.614756263	295.3129585	293.3559777	291.9952168
